MHs   MDM   MZp   BR(Hs->hh)    Xsec
600   800   3500  2.499343e-01  2.7271875670005955e-05
600   800   4000  2.500004e-01  1.4852252330001572e-05
600   800   4500  2.500517e-01  7.380551300000495e-06
600   800   5000  2.500928e-01  3.4362166430001615e-06
600   900   1750  2.494061e-01  2.1043544000157805e-06
600   900   2000  2.495381e-01  2.676841100008815e-05
600   900   2500  2.497230e-01  3.853352980006161e-05
600   900   3000  2.498463e-01  2.99816617800194e-05
600   900   3500  2.499343e-01  2.0566690380005286e-05
600   900   4000  2.500004e-01  1.2029315870001423e-05
600   900   4500  2.500517e-01  6.232246596000382e-06
600   900   5000  2.500928e-01  2.9950384620001238e-06
600   1000  2000  2.495381e-01  2.3635626800101757e-06
600   1000  2500  2.497230e-01  2.488343471404079e-05
600   1000  3000  2.498463e-01  2.068754867001593e-05
600   1000  3500  2.499343e-01  1.5183277800004553e-05
600   1000  4000  2.500004e-01  9.466732651001256e-06
600   1000  4500  2.500517e-01  5.139366347000341e-06
600   1000  5000  2.500928e-01  2.566211017000097e-06
700   400   700   2.437684e-01  8.032614112186883e-06
700   400   800   2.440949e-01  2.335872300137615e-05
700   400   900   2.443489e-01  0.0001756384593055483
700   400   1000  2.445520e-01  0.00029776954410699354
700   400   1250  2.449178e-01  0.00035746575800462414
700   400   1500  2.451616e-01  0.00028736002994227426
700   400   1750  2.453357e-01  0.00024145986200104806
700   400   2000  2.454664e-01  0.00022502535310048189
700   400   2500  2.456492e-01  0.0001590369890001104
700   400   3000  2.457711e-01  8.953555250002764e-05
700   400   3500  2.458582e-01  4.5048036500008026e-05
700   400   4000  2.459235e-01  2.102921692000276e-05
700   400   4500  2.459743e-01  9.52536075000122e-06
700   400   5000  2.460150e-01  4.150824762000614e-06
700   500   900   2.443489e-01  5.1424470003626245e-06
700   500   1000  2.445520e-01  1.4515590000462927e-05
700   500   1250  2.449178e-01  0.00018354189550240466
700   500   1500  2.451616e-01  0.00020332015404793538
700   500   1750  2.453357e-01  0.00016698002990085553
700   500   2000  2.454664e-01  0.0001442488538304213
700   500   2500  2.456492e-01  0.00011483947090010063
700   500   3000  2.457711e-01  7.143021480002487e-05
700   500   3500  2.458582e-01  3.805951850000668e-05
700   500   4000  2.459235e-01  1.8643804290002164e-05
700   500   4500  2.459743e-01  8.621795980000819e-06
700   500   5000  2.460150e-01  3.816760196000399e-06
700   600   1250  2.449178e-01  2.659951740039022e-05
700   600   1500  2.451616e-01  0.00011243818650090922
700   600   1750  2.453357e-01  0.00011818392300661765
700   600   2000  2.454664e-01  9.860208950033519e-05
700   600   2500  2.456492e-01  7.777931010008683e-05
700   600   3000  2.457711e-01  5.430283710002202e-05
700   600   3500  2.458582e-01  3.115066845000584e-05
700   600   4000  2.459235e-01  1.6065393390001716e-05
700   600   4500  2.459743e-01  7.5843617400006085e-06
700   600   5000  2.460150e-01  3.470833601000266e-06
700   700   1250  2.449178e-01  1.758763980053835e-06
700   700   1500  2.451616e-01  2.8180197900240037e-05
700   700   1750  2.453357e-01  6.912200970037135e-05
700   700   2000  2.454664e-01  6.973674596724965e-05
700   700   2500  2.456492e-01  5.1940773300073655e-05
700   700   3000  2.457711e-01  3.964287700001941e-05
700   700   3500  2.458582e-01  2.4779960720005216e-05
700   700   4000  2.459235e-01  1.3400454680001466e-05
700   700   4500  2.459743e-01  6.6293741000004626e-06
700   700   5000  2.460150e-01  3.090825390000184e-06
700   800   1500  2.451616e-01  1.4755203000236943e-06
700   800   1750  2.453357e-01  2.3472312730129073e-05
700   800   2000  2.454664e-01  4.271814137440679e-05
700   800   2500  2.456492e-01  3.544983840006096e-05
700   800   3000  2.457711e-01  2.7689575300017025e-05
700   800   3500  2.458582e-01  1.8956799460004534e-05
700   800   4000  2.459235e-01  1.0971691250001241e-05
700   800   4500  2.459743e-01  5.647525750000357e-06
700   800   5000  2.460150e-01  2.697492498000132e-06
700   900   1750  2.453357e-01  1.3667627500117968e-06
700   900   2000  2.454664e-01  1.7517380390066053e-05
700   900   2500  2.456492e-01  2.524107419004602e-05
700   900   3000  2.457711e-01  1.913540008001439e-05
700   900   3500  2.458582e-01  1.4045462410003973e-05
700   900   4000  2.459235e-01  8.700769890001026e-06
700   900   4500  2.459743e-01  4.723845696000294e-06
700   900   5000  2.460150e-01  2.350119476000101e-06
700   1000  2000  2.454664e-01  1.5538484600073926e-06
700   1000  2500  2.456492e-01  1.6554775640030547e-05
700   1000  3000  2.457711e-01  1.3305630170011846e-05
700   1000  3500  2.458582e-01  1.012759111000339e-05
700   1000  4000  2.459235e-01  6.6933773570009445e-06
700   1000  4500  2.459743e-01  3.8495547650002605e-06
700   1000  5000  2.460150e-01  1.9769953970000754e-06
800   500   900   2.430754e-01  3.31841094027525e-06
800   500   1000  2.432779e-01  9.325424100352635e-06
800   500   1250  2.436423e-01  0.00011776988740180096
800   500   1500  2.438853e-01  0.00013290282500121977
800   500   1750  2.440588e-01  0.0001092764184306425
800   500   2000  2.441890e-01  8.838194290031442e-05
800   500   2500  2.443712e-01  7.4277573800076e-05
800   500   3000  2.444927e-01  5.042398730001909e-05
800   500   3500  2.445794e-01  2.8545778000005133e-05
800   500   4000  2.446445e-01  1.4438788180001691e-05
800   500   4500  2.446951e-01  6.852593020000655e-06
